            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
 weee-3600-59-100-11          weee  3600  59  6478140     1        61     1  0.001    ubs        ub    1    28.6496       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    28.64959      1.05             62      124          0          0             -1               0               124          0.00152  232113   1.12000
study-1200-23-010-11         study  1200  23       56   0.1    719345     1  0.001    ubs        ub    1   0.509923       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.50988      1.05             26       52   0.392042         20             16               4                72          0.00184      22  36.00000
 weee-1200-23-100-12          weee  1200  23   719401     1         0     1  0.001    ubs        ub    1   0.757923       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.75787      1.05             26       52          0          0             -1               0                52          0.00173   20188   0.99033
 weee-3200-53-100-14          weee  3200  53  5118363     1        38     1  0.001    ubs        ub    1    18.7527       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    18.75264      1.05             56      112          0          0             -1               0               112          0.00170  161572   1.05151
study-1600-29-010-20         study  1600  29       58   0.1   1279143     1  0.001    ubs        ub    1    1.24511       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     1.24506      1.05             32       64   0.928078         15              3               3                79          0.00208      25  37.00000
study-2400-41-010-16         study  2400  41       61   0.1   2878740     1  0.001    ubs        ub    1    3.70936       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     3.70931      1.05             44       88    2.88886         20              4               4               108          0.00252      26  37.00000
  weee-400-11-100-27          weee   400  11    79801     1         0     1  0.001    ubs        ub    1  0.0858156       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.08577      1.05             14       28          0          0             -1               0                28          0.00185    1977   0.89741
 weee-1600-29-100-17          weee  1600  29  1279201     1         0     1  0.001    ubs        ub    1    2.17409       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.17404      1.05             32       64          0          0             -1               0                64          0.00254   41625   1.07247
 weee-4000-65-100-21          weee  4000  65  7997905     1        96     1  0.001    ubs        ub    1    41.5051       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    41.50511      1.05             68      136          0          0             -1               0               136          0.00200  275690   1.10087
 study-800-17-010-24         study   800  17       56   0.1    319545     1  0.001    ubs        ub    1   0.233512       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.23346      1.05             20       40   0.203699         15             29               3                55          0.00199      21  35.00000
