            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau        time   ubiTime  ubiIterToBest       ubiTtb    ubiAvgCons  ubiMinCons        ubiAvg     ubi   ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
 study-1200-23-000-3         study  1200  23       57     0    719344     1  0.001    ubi        ub    1    0.192106   0.19205            633    0.0995376      32.86250          28      30.76250      26  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2800-47-000-8         study  2800  47       63     0   3918538     1  0.001    ubi        ub    1      2.0894   2.08934            523     0.385537      37.44500          32      35.78393      32  43.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-010-2         study   400  11       52   0.1     79749     1  0.001    ubi        ub    1   0.0103006   0.01026            237   0.00615895      29.98500          24      26.74000      21  36.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-3200-53-010-6         study  3200  53       61   0.1   5118340     1  0.001    ubi        ub    1     3.34494   3.34489            575     0.542771      36.59031          31      34.96000      30  42.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-010-6         study   400  11       50   0.1     79751     1  0.001    ubi        ub    1   0.0102941   0.01025             13  0.000380809      29.17500          23      26.01500      20  36.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-4000-65-075-5          weee  4000  65  7997903  0.75        98     1  0.001    ubi        ub    1     19.2014  19.20133            621      2.82029  472001.13400      290036  413116.75025  286621   1.12142        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-100-1          weee  3600  59  6478133     1        68     1  0.001    ubi        ub    1     12.2442  12.24410            343      1.24693  381204.91028      240181  332607.62833  238664   1.13772        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-800-17-075-10          weee   800  17   319601  0.75         0     1  0.001    ubi        ub    1    0.117736   0.11768            240    0.0373531   22064.73375        9439   17762.31125    9439   1.01164        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 weee-3600-59-050-10          weee  3600  59  6478145   0.5        56     1  0.001    ubi        ub    1     11.6387  11.63864           1674      5.19635  386517.81583      215205  337994.41833  212104   1.06954        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-100-3          weee  2800  47  3918567     1        34     1  0.001    ubi        ub    1     5.04751   5.04746             41    0.0786343  235820.35571      135115  204720.62929  127382   1.07125        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1600-29-000-9         study  1600  29       59     0   1279142     1  0.001    ubi        ub    1    0.385504   0.38546            398     0.096669      35.40125          30      33.32937      29  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
   weee-800-17-100-4          weee   800  17   319601     1         0     1  0.001    ubi        ub    1    0.109412   0.10937            150    0.0197743   21040.44875        6975   17007.06250    6975   0.86808        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-000-9         study   400  11       51     0     79750     1  0.001    ubi        ub    1   0.0098282   0.00978             28  0.000717506      29.87500          23      26.62750      21  36.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1600-29-010-6         study  1600  29       59   0.1   1279142     1  0.001    ubi        ub    1    0.389829   0.38978            735     0.179943      33.22687          28      31.19000      27  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-4000-65-025-9          weee  4000  65  7997881  0.25       120     1  0.001    ubi        ub    1      18.252  18.25198           2096      9.39115  475074.08150      302417  417520.85175  300652   1.14698        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-010-1         study  1200  23       56   0.1    719345     1  0.001    ubi        ub    1    0.187244   0.18719            451    0.0711376      32.76917          28      30.58917      25  39.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-1200-23-075-7          weee  1200  23   719398  0.75         3     1  0.001    ubi        ub    1    0.370268   0.37022            478     0.144219   47584.98083       22100   39267.49917   22100   1.03646        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3200-53-050-9          weee  3200  53  5118362   0.5        39     1  0.001    ubi        ub    1     8.20437   8.20433            324     0.784231  303324.78187      194582  263428.62656  192066   1.15042        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2000-35-025-5          weee  2000  35  1998997  0.25         4     1  0.001    ubi        ub    1     1.83032   1.83024            777     0.699768  123320.68600       70090  105405.23700   70090   1.11100        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-025-7          weee  2800  47  3918571  0.25        30     1  0.001    ubi        ub    1     5.10441   5.10436           1521      2.74846  233790.40143      148147  201852.10607  133815   1.10031        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-000-5         study   400  11       51     0     79750     1  0.001    ubi        ub    1  0.00992743   0.00988            356   0.00883471      28.70750          22      25.48500      20  36.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2400-41-075-3          weee  2400  41  2878789  0.75        12     1  0.001    ubi        ub    1     3.10925   3.10920           1086      1.40798  172867.44083       95465  148670.57250   84857   1.01318        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1600-29-000-3         study  1600  29       56     0   1279145     1  0.001    ubi        ub    1    0.386401   0.38636            229    0.0552691      33.50438          28      31.45000      27  41.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-1200-23-000-9         study  1200  23       58     0    719343     1  0.001    ubi        ub    1    0.178633   0.17859            155    0.0241038      34.74333          29      32.50833      28  40.00000        NA              NA       NA           NA           NA       NA    NA        NA       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
