            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal   ubRbTime  ubRbIterToBest      ubrbTtb   ubRbAvgCons  ubRbMinCons  ubRbAvg    ubRb  ubRbReal  ubsTime  ubsSigma  ubsSubsetSize  ubsIter  ubsTtb  ubsBsIter  ubsIterToBest  bsNumColorCalls  ubsAvgColorTime  ubs  ubsReal
 study-1200-23-000-3         study  1200  23       57     0    719344     1  0.001   ubrb        ub    1    1.85468       NA             NA      NA          NA          NA      NA   NA       NA    1.85463            1855      1.01655      24.09583           22  0.00000      22  36.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-2800-47-000-8         study  2800  47       63     0   3918538     1  0.001   ubrb        ub    1    32.7543       NA             NA      NA          NA          NA      NA   NA       NA   32.75424            2811     0.128939      28.38179           27  0.00000      27  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-010-2         study   400  11       52   0.1     79749     1  0.001   ubrb        ub    1  0.0665211       NA             NA      NA          NA          NA      NA   NA       NA    0.06647             605    0.0339064      21.70250           19  0.00000      19  34.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 study-3200-53-010-6         study  3200  53       61   0.1   5118340     1  0.001   ubrb        ub    1    52.8194       NA             NA      NA          NA          NA      NA   NA       NA   52.81937            3432      3.92975      27.52313           26  0.00000      26  38.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  study-400-11-010-6         study   400  11       50   0.1     79751     1  0.001   ubrb        ub    1  0.0679753       NA             NA      NA          NA          NA      NA   NA       NA    0.06792             443   0.00756823      21.04250           19  0.00000      19  35.00000       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-4000-65-075-5          weee  4000  65  7997903  0.75        98     1  0.001   ubrb        ub    1    162.222       NA             NA      NA          NA          NA      NA   NA       NA  162.22229            4618      24.9237  399627.96875       290036  0.00000  290036   1.12844       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-3600-59-100-1          weee  3600  59  6478133     1        68     1  0.001   ubrb        ub    1     108.03       NA             NA      NA          NA          NA      NA   NA       NA  108.02952            4430      24.8739  320930.68194       239852  0.00000  239852   1.14080       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-800-17-075-10          weee   800  17   319601  0.75         0     1  0.001   ubrb        ub    1   0.470304       NA             NA      NA          NA          NA      NA   NA       NA    0.47025             803   0.00207964   17191.97750         9439  0.00000    9439   1.01164       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
 weee-3600-59-050-10          weee  3600  59  6478145   0.5        56     1  0.001   ubrb        ub    1    107.326       NA             NA      NA          NA          NA      NA   NA       NA  107.32631            3799      5.91175  331583.74472       212104  0.00000  212104   1.06954       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
  weee-2800-47-100-3          weee  2800  47  3918567     1        34     1  0.001   ubrb        ub    1    41.4157       NA             NA      NA          NA          NA      NA   NA       NA   41.41567            2960      2.36335  199239.31750       129302  0.00000  129302   1.07962       NA        NA             NA       NA      NA         NA             NA               NA               NA   NA       NA
