            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau       time  ubiTime  ubiIterToBest  ubiTtb  ubiAvgCons  ubiMinCons  ubiAvg  ubi  ubiReal  ubRbTime  ubRbIterToBest  ubrbTtb  ubRbAvgCons  ubRbMinCons  ubRbAvg  ubRb  ubRbReal     ubsTime  ubsSigma  ubsSubsetSize  ubsIter     ubsTtb  ubsBsIter  ubsIterToBest  ubsNumImproves  ubsNumColorCalls  ubsAvgColorTime     ubs   ubsReal
 study-1200-23-010-5         study  1200  23       54   0.1    719347     1  0.001    ubs        ub    1    0.57599       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.57594       1.5             34       68   0.319478         15              3               3                83          0.00187      22  36.00000
  weee-1600-29-025-9          weee  1600  29  1279196  0.25         5     1  0.001    ubs        ub    1    2.47043       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.47036       1.5             43       86          0          0             -1               0                86          0.00211   33579   0.94250
 study-4000-65-010-4         study  4000  65       60   0.1   7997941     1  0.001    ubs        ub    1    20.3497       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    20.34965       1.5             97      194    15.0437         15             35               3               209          0.00239      26  38.00000
  weee-2800-47-050-4          weee  2800  47  3918573   0.5        28     1  0.001    ubs        ub    1    13.4894       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    13.48931       1.5             70      140          0          0             -1               0               140          0.00226  141426   1.12771
  weee-2000-35-100-2          weee  2000  35  1998992     1         9     1  0.001    ubs        ub    1    4.95799       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.95794       1.5             52      104          0          0             -1               0               104          0.00159   63524   1.05406
  weee-2800-47-025-8          weee  2800  47  3918585  0.25        16     1  0.001    ubs        ub    1    14.0898       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    14.08970       1.5             70      140          0          0             -1               0               140          0.00319  132824   1.08873
   weee-400-11-050-8          weee   400  11    79801   0.5         0     1  0.001    ubs        ub    1   0.109095       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.10903       1.5             16       32          0          0             -1               0                32          0.00237    1831   0.89616
 weee-1600-29-075-10          weee  1600  29  1279200  0.75         1     1  0.001    ubs        ub    1    2.66376       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.66369       1.5             43       86          0          0             -1               0                86          0.00221   39733   1.04167
  weee-2000-35-100-1          weee  2000  35  1998995     1         6     1  0.001    ubs        ub    1    4.76764       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.76758       1.5             52      104    4.06882         16             34               1               120          0.00207   58797   1.00185
 weee-3200-53-025-10          weee  3200  53  5118370  0.25        31     1  0.001    ubs        ub    1    22.8863       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    22.88619       1.5             79      158    19.4422         18              1               1               176          0.00235  162710   1.05315
  weee-2400-41-025-4          weee  2400  41  2878785  0.25        16     1  0.001    ubs        ub    1    8.39517       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     8.39510       1.5             61      122          0          0             -1               0               122          0.00232   88900   1.03755
 study-2400-41-010-1         study  2400  41       60   0.1   2878741     1  0.001    ubs        ub    1    3.74316       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     3.74312       1.5             61      122    2.63583         15              3               3               137          0.00142      25  37.00000
  weee-1200-23-100-6          weee  1200  23   719400     1         1     1  0.001    ubs        ub    1   0.864117       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.86406       1.5             34       68          0          0             -1               0                68          0.00192   19912   0.98861
  weee-2000-35-050-4          weee  2000  35  1998996   0.5         5     1  0.001    ubs        ub    1    4.71088       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     4.71083       1.5             52      104          0          0             -1               0               104          0.00259   68462   1.10021
  weee-3600-59-100-3          weee  3600  59  6478127     1        74     1  0.001    ubs        ub    1    31.5765       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA    31.57642       1.5             88      176          0          0             -1               0               176          0.00212  216931   1.08062
  study-400-11-000-6         study   400  11       50     0     79751     1  0.001    ubs        ub    1   0.134876       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.13479       1.5             16       32  0.0530166         10              2               2                42          0.00253      18  34.00000
  study-800-17-010-4         study   800  17       55   0.1    319546     1  0.001    ubs        ub    1   0.280832       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.28077       1.5             25       50   0.202105         15             23               3                65          0.00203      21  35.00000
 study-2000-35-010-7         study  2000  35       58   0.1   1998943     1  0.001    ubs        ub    1     2.5419       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.54183       1.5             52      104    1.61975         15              3               3               119          0.00199      24  36.00000
  study-800-17-010-2         study   800  17       54   0.1    319547     1  0.001    ubs        ub    1   0.279035       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     0.27896       1.5             25       50   0.131171         10              2               2                60          0.00216      20  35.00000
  weee-2400-41-025-3          weee  2400  41  2878789  0.25        12     1  0.001    ubs        ub    1    8.41503       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     8.41498       1.5             61      122          0          0             -1               0               122          0.00218   84857   1.01318
  weee-1600-29-100-5          weee  1600  29  1279201     1         0     1  0.001    ubs        ub    1    2.54552       NA             NA      NA          NA          NA      NA   NA       NA        NA              NA       NA           NA           NA       NA    NA        NA     2.54545       1.5             43       86          0          0             -1               0                86          0.00203   40659   1.05175
