            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType  tau     time  umdpAlg     ubTime       ub     lb  p1  p2  p3    disp  dispReal  umdpTime  timeLastEC      ecTtb  ecIterTb  ecNumAlt   ecTime  ecInsertTime    ecNodes      lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
 study-1200-23-010-5         study  1200  23       54   0.1    719347     1  0.001   none      umdp    1     1800       ec   0.294384       53     10   4   8   8      17        31   1799.47     375.449    3.00311        42        45  1799.46       1797.25  136592402    0.258413         41      520       422       53        0             NA              0
  weee-1600-29-025-9          weee  1600  29  1279196  0.25         5     1  0.001   none      umdp    1  1800.01       ec    1.94524  1279195   4546   4   8   8   33579  0.942502   1797.72     1796.94    3.06692         9        10  1797.71       1796.94  267330523    0.199782         10      387       267      110        0             NA              0
 study-4000-65-010-4         study  4000  65       60   0.1   7997941     1  0.001   none      umdp    1  1800.07       ec    12.4135       59     12   4   8   8      19        31   1783.42     22.1868    83.3656       123       128  1783.32       1723.81   25282191     2.79098        106     1776      1560       88        0             NA              0
  weee-2800-47-050-4          weee  2800  47  3918573   0.5        28     1  0.001   none      umdp    1  1800.03       ec    11.0143  3918572  13964   4   8   8  140092   1.12198   1788.02     114.907     1685.1       488       489  1787.98       1694.75  120412843     3.87261        383     3470      1448     1533        0             NA              0
  weee-2000-35-100-2          weee  2000  35  1998992     1         9     1  0.001   none      umdp    1  1800.02       ec    4.22629  1998991  15717   4   8   8   63524   1.05406   1795.43     1773.01    26.9875       114       116   1795.4       1783.96  177895668    0.966745         97     1741      1100      525        0             NA              0
  weee-2800-47-025-8          weee  2800  47  3918585  0.25        16     1  0.001   none      umdp    1  1800.03       ec    11.0411  3918584  35697   4   8   8  132647   1.08802   1787.99     1403.39    396.618       243       244  1787.95       1740.83  126643532     2.83321        194     2567      1132     1191        0             NA              0
   weee-400-11-050-8          weee   400  11    79801   0.5         0     1  0.001   none      umdp    1  14.3749       ec  0.0308536    79800    480   4   8   8    1831  0.896163   14.3276     7.12662  0.0501559         0         2   14.327       14.3242    4762568  0.00266783          1       44        39        3        0             NA              0
 weee-1600-29-075-10          weee  1600  29  1279200  0.75         1     1  0.001   none      umdp    1  1800.01       ec    1.78656  1279199   6693   4   8   8   39733   1.04167   1797.98     1795.53    4.47608        32        33  1797.97       1795.61  255705824    0.403893         30     1085       827      225        0             NA              0
  weee-2000-35-100-1          weee  2000  35  1998995     1         6     1  0.001   none      umdp    1  1800.01       ec    3.80143  1998994  13658   4   8   8   58797   1.00185   1795.68     1786.06    13.9463        36        37  1795.66       1791.32  224968936    0.918666         33     1324       992      295        0             NA              0
 weee-3200-53-025-10          weee  3200  53  5118370  0.25        31     1  0.001   none      umdp    1  1800.02       ec    17.9026  5118369  30660   4   8   8  162710   1.05315   1780.86     1736.86    63.1389       120       121  1780.83       1750.62  116856814     2.64272        113     2289      1241      927        0             NA              0
  weee-2400-41-025-4          weee  2400  41  2878785  0.25        16     1  0.001   none      umdp    1  1800.01       ec    6.73768  2878784  26379   4   8   8   88900   1.03755   1792.61     1777.82    22.1762        61        63  1792.59       1783.08  163934306       1.119         59     1417       890      464        0             NA              0
 study-2400-41-010-1         study  2400  41       60   0.1   2878741     1  0.001   none      umdp    1  1800.02       ec    2.99961       59     13   4   8   8      19        31   1795.88     1777.12    22.8896        89        90  1795.85       1780.96   56912609    0.882897         79     1051       893       68        0             NA              0
  weee-1200-23-100-6          weee  1200  23   719400     1         1     1  0.001   none      umdp    1     1800       ec   0.610519   719399   5659   4   8   8   19912  0.988611   1799.22     1798.51    1.48837        13        14  1799.21       1798.52  338347942    0.190725         13      565       487       64        0             NA              0
