            instance  instanceType     n   m        R  beta  duplDist  seed  alpha  ubAlg  testType       time  ubAlg  umdpAlg     ubTime      ub     lb  p1  p2  p3    disp   dispReal    umdpTime  timeLastEC  ecTtb  ecIterTb  ecNumAlt  ecTime  ecInsertTime  ecNodes  lsTime  lsAltImpr  lsSteps  lsShifts  lsSwaps  ferIter  ferAvgColTime  ferMaxColTime
  weee-1200-23-100-7          weee  1200  23   719398     1         3     1  0.001    ubi      umdp   0.962865    ubi      fer    0.62959   22100   6437   3   6  19   22100    1.03646    0.180558    0.180558      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.127092
   weee-400-11-025-3          weee   400  11    79801  0.25         0     1  0.001    ubi      umdp  0.0494424    ubi      fer  0.0276436    2065    164   3   6  19    2065   0.944323  0.00886015  0.00886015      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.003627
  weee-1600-29-100-3          weee  1600  29  1279195     1         6     1  0.001    ubi      umdp    85.7601    ubi      fer     1.9087   37717   5008   3   6  19   36799    1.00263       83.61       83.61      0         0         0       0             0        0       0          0        0         0        0      922             NA       0.601953
   weee-400-11-075-8          weee   400  11    79801  0.75         0     1  0.001    ubi      umdp   0.050188    ubi      fer  0.0277513    1831    830   3   6  19    1831   0.896163  0.00979694  0.00979694      0         0         0       0             0        0       0          0        0         0        0        1             NA     0.00383048
 study-3200-53-000-9         study  3200  53       61     0   5118340     1  0.001    ubi      umdp    16.0471    ubi      fer    7.36036      32     15   3   9  15      21         31     6.11754     6.11754      0         0         0       0             0        0       0          0        0         0        0       12             NA        1.26661
 study-1200-23-010-3         study  1200  23       57   0.1    719344     1  0.001    ubi      umdp    1.53832    ubi      fer   0.292687      26      9   3   9  15      17         31    0.969339    0.969339      0         0         0       0             0        0       0          0        0         0        0       10             NA       0.416521
 weee-3600-59-075-10          weee  3600  59  6478145  0.75        56     1  0.001    ubi      umdp     1800.5    ubi      fer    25.2977  212104  16634   3   6  19   16634   0.290154     1773.39     1773.39      0         0         0       0             0        0       0          0        0         0        0     3080             NA       0.985107
 study-4000-65-000-9         study  4000  65       60     0   7997941     1  0.001    ubi      umdp    27.4917    ubi      fer    12.8385      31     12   3   9  15      19         31     10.4701     10.4701      0         0         0       0             0        0       0          0        0         0        0       13             NA         1.5434
  weee-1600-29-075-1          weee  1600  29  1279197  0.75         4     1  0.001    ubi      umdp    2.53377    ubi      fer    1.83324   41084    992   3   6  19   41084    1.05352    0.449766    0.449766      0         0         0       0             0        0       0          0        0         0        0        1             NA        0.35865
  study-400-11-000-9         study   400  11       51     0     79750     1  0.001    ubi      umdp   0.406852    ubi      fer  0.0149936      21     10   3   9  15      16         31    0.373856    0.373856      0         0         0       0             0        0       0          0        0         0        0        6             NA       0.345069
  weee-2800-47-075-8          weee  2800  47  3918585  0.75        16     1  0.001    ubi      umdp    1800.26    ubi      fer    10.9716  132824  10417   3   6  19   10417    0.29321     1788.38     1788.38      0         0         0       0             0        0       0          0        0         0        0     5375             NA       0.881592
 study-1200-23-000-6         study  1200  23       58     0    719343     1  0.001    ubi      umdp    1.48922    ubi      fer   0.289363      28      9   3   9  15      19         31    0.950039    0.950039      0         0         0       0             0        0       0          0        0         0        0       10             NA       0.423217
 study-3200-53-010-1         study  3200  53       61   0.1   5118340     1  0.001    ubi      umdp    15.1922    ubi      fer    6.13922      31     10   3   9  15      19         31     6.84159     6.84159      0         0         0       0             0        0       0          0        0         0        0       13             NA         1.3777
 study-2400-41-010-1         study  2400  41       60   0.1   2878741     1  0.001    ubi      umdp     7.4919    ubi      fer    2.61458      30     10   3   9  15      19         31     3.65658     3.65658      0         0         0       0             0        0       0          0        0         0        0       12             NA       0.918315
 study-4000-65-010-2         study  4000  65       62   0.1   7997939     1  0.001    ubi      umdp    27.9828    ubi      fer     13.487      32     11   3   9  15      20         31     10.0991     10.0991      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.55762
  weee-2400-41-050-1          weee  2400  41  2878787   0.5        14     1  0.001    ubi      umdp    8.65638    ubi      fer    7.03412   87054   1167   3   6  19   87054    1.02686    0.958565    0.958565      0         0         0       0             0        0       0          0        0         0        0        1             NA       0.745636
  weee-3600-59-075-3          weee  3600  59  6478127  0.75        74     1  0.001    ubi      umdp    1800.54    ubi      fer    26.9662  216931   6361   3   6  19    6361   0.177351     1771.79     1771.79      0         0         0       0             0        0       0          0        0         0        0     3082             NA       0.931415
  weee-2800-47-025-5          weee  2800  47  3918584  0.25        17     1  0.001    ubi      umdp    1800.25    ubi      fer    10.8683  134434  15110   3   6  19   15110   0.356043     1788.38     1788.38      0         0         0       0             0        0       0          0        0         0        0     5300             NA        0.85597
  weee-3600-59-075-5          weee  3600  59  6478139  0.75        62     1  0.001    ubi      umdp    73.1563    ubi      fer    26.1362  184209  30986   3   6  19  184133   0.992109     45.3169     45.3169      0         0         0       0             0        0       0          0        0         0        0       77             NA       0.930315
 study-3600-59-010-6         study  3600  59       61   0.1   6478140     1  0.001    ubi      umdp    20.8736    ubi      fer    9.08578      32     12   3   9  15      20         31     8.66676     8.66676      0         0         0       0             0        0       0          0        0         0        0       13             NA        1.51829
 study-1600-29-010-4         study  1600  29       57   0.1   1279144     1  0.001    ubi      umdp    2.82322    ubi      fer   0.782865      28     12   3   9  15      18         31     1.58361     1.58361      0         0         0       0             0        0       0          0        0         0        0       11             NA       0.537115
  weee-2000-35-025-2          weee  2000  35  1998992  0.25         9     1  0.001    ubi      umdp    147.491    ubi      fer    3.56383   63524  21118   3   6  19   62602     1.0462     143.479     143.479      0         0         0       0             0        0       0          0        0         0        0      931             NA       0.608172
