instance instanceType n m R beta duplDist seed alpha ubAlg testType tau time ttb iter iterTb bsSteps disp dispReal bal dispFirstFail balFirstFail dispFirstEC dispFirstECReal balFirstEC ubTime ub ubReal ecTime ecTimeMax ecNodes maxEcIter avgDispStep maxDispStep feasible balAlg th1 th2 balTime balTtb bbTime balTimeMax balNodes balCalls avgBalStep maxBalStep geNodes geNumBB avgBbNodes avgBbMoves avgBbDepth numMaxNodeIncr geDidReachTh2 balShakes balVnsShifts balVnsSwaps
weee-4000-65-025-7 weee 4000 65 7997904 0.25 97 1 0.001 ubs full 1 2585.67 1794.17 223 222 0 276350 1.09731 0 NA NA 200785 0.929347 5.76468 134.148 296913 1.13965 185.463 29.3318 1921516 1 1237.11 200539 1 2ge 2048 262144 1428.16 1799.99 694.779 18.3016 23971661 224 0.298101 5.76468 23971661 117422 204.15 7.79472 6.97674 0 5404 1 NA NA
weee-4000-65-025-7 weee 4000 65 7997904 0.25 97 1 0.01 ubs full 1 3115.87 1776.98 371 370 0 282163 1.1093 0 NA NA 204828 0.938871 4.77436 136.272 296913 1.13965 837.282 400.475 28716345 1 753.558 202372 1 2ge 2048 262144 726.64 1776.77 375.581 7.26308 10797068 371 0.12985 4.77436 10797068 60575 178.243 8.34536 6.65175 0 2400 0 NA NA
weee-4000-65-025-7 weee 4000 65 7997904 0.25 97 1 0.05 ubs full 1 272.063 270.698 30 29 0 243066 1.02546 0 NA NA 200658 0.929009 2.31232 134.778 296913 1.13965 16.1893 1.37415 6631 1 6229.4 144517 1 2ge 2048 262144 113.248 270.517 73.4652 10.6028 6487181 31 0.301161 2.31232 6487181 6995 927.403 12.9574 13.3367 0 2342 0 NA NA
weee-800-17-100-10 weee 800 17 319601 1 0 1 0.001 ubs full 1 3.4243 0 0 0 0 2147483647 -1 16.983 NA NA -1 -1 -1 0.331331 9439 1.01164 0 0 0 1 NA 0 0 2ge 2048 262144 2.66225 3.03497 1.85936 0 954461 1 NA 0 954461 2172 439.439 1.36924 73.7979 36 325 36 NA NA
weee-2800-47-100-3 weee 2800 47 3918567 1 34 1 0.001 ubs full 1 286.425 0 0 0 0 2147483647 -1 46.953 NA NA -1 -1 -1 250.062 125985 1.06528 0 0 0 1 NA 0 0 2ge 2048 262144 35.0733 286.002 16.0988 0 4609821 1 NA 0 4609821 7512 613.661 1.84651 118.574 36 1608 36 NA NA
weee-2800-47-100-3 weee 2800 47 3918567 1 34 1 0.01 ubs full 1 262.59 0 0 0 0 2147483647 -1 46.53 NA NA -1 -1 -1 247.582 125985 1.06528 0 0 0 1 NA 0 0 2ge 2048 262144 13.748 262.195 5.42742 0 1256943 1 NA 0 1256943 4724 266.076 1.26228 79.406 36 387 36 NA NA
weee-2800-47-100-3 weee 2800 47 3918567 1 34 1 0.05 ubs full 1 246.725 0 0 0 0 2147483647 -1 44.65 NA NA -1 -1 -1 241.282 125985 1.06528 0 0 0 1 NA 0 0 2ge 2048 262144 4.1749 246.413 0.650266 0 152873 1 NA 0 152873 2293 66.6694 0.372874 59.1762 1 1 36 NA NA
weee-4000-65-100-1 weee 4000 65 7997895 1 106 1 0.001 ubs full 1 51.1648 0 0 0 0 2147483647 -1 64.935 NA NA -1 -1 -1 45.8192 265952 1.07899 0 0 0 1 NA 0 0 2ge 2048 262144 2.76753 50.3878 1.05783 0 230211 1 NA 0 230211 344 669.218 2.36337 120.86 1 80 0 NA NA
weee-4000-65-100-1 weee 4000 65 7997895 1 106 1 0.01 ubs full 1 48.7813 0 0 0 0 2147483647 -1 64.35 NA NA -1 -1 -1 45.5838 265952 1.07899 0 0 0 1 NA 0 0 2ge 2048 262144 0.612455 48.1162 0.243266 0 50684 1 NA 0 50684 169 299.905 1.45562 80.8462 1 15 0 NA NA
weee-4000-65-100-1 weee 4000 65 7997895 1 106 1 0.05 ubs full 1 47.4468 0 0 0 0 2147483647 -1 61.75 NA NA -1 -1 -1 44.7691 265952 1.07899 0 0 0 1 NA 0 0 2ge 2048 262144 0.160059 46.8409 0.0228102 0 5137 1 NA 0 5137 73 70.3699 0.246575 58.2055 0 0 0 NA NA
weee-2800-47-025-1 weee 2800 47 3918579 0.25 22 1 0.001 ubs full 1 2567.38 1666.96 206 206 0 134178 1.09855 0 NA NA 105431 0.968063 4.17982 63.6741 134178 1.09855 1091.03 994.444 59657437 1 649.83 105242 1 2ge 2048 262144 483.939 1666.89 305.663 5.95337 19332747 207 0.244756 4.17982 19332747 56496 342.197 11.9941 8.59751 0 4795 0 NA NA
weee-2800-47-025-1 weee 2800 47 3918579 0.25 22 1 0.01 ubs full 1 262.477 260.524 145 144 0 131348 1.08598 0 NA NA 102259 0.952484 3.234 63.7279 134178 1.09855 37.3053 1.69116 275930 1 902.89 101879 1 2ge 2048 262144 144.496 260.422 96.025 3.09186 7425399 146 0.169172 3.234 7425399 15235 487.391 13.6687 10.1884 0 2194 0 NA NA
weee-2800-47-025-1 weee 2800 47 3918579 0.25 22 1 0.05 ubs full 1 80.5739 80.0473 16 15 0 114250 1.00892 0 NA NA 102602 0.954281 1.86413 63.7023 134178 1.09855 4.51035 0.830286 202 1 6461.94 91745 1 2ge 2048 262144 9.68949 79.9487 6.75567 2.07642 815976 17 0.27164 1.86413 815976 849 961.102 14.9753 14.9187 0 336 0 NA NA
weee-2800-47-100-1 weee 2800 47 3918579 1 22 1 0.001 ubs full 1 265.853 265.738 4 4 5 108395 0.98212 0 109604 0.0238886 104020 0.961015 86.8381 63.3344 134178 1.09855 2.96895 1.97973 41 1 27379.8 103942 1 2ge 2048 262144 197.636 265.643 98.6112 51.1299 25493346 10 58.4256 86.8381 25493346 31552 807.979 3.03829 26.2575 26 8297 27 NA NA
weee-2800-47-100-1 weee 2800 47 3918579 1 22 1 0.01 ubs full 1 175.798 175.703 3 3 8 106320 0.972259 0 108859 0.0338507 94075 0.912269 85.573 63.7985 134178 1.09855 2.23846 1.06464 17 1 35856.7 92786 1 2ge 2048 262144 107.965 175.603 55.2635 28.1014 16461737 12 73.026 85.573 16461737 16855 976.668 2.44017 28.6249 14 5725 15 NA NA
weee-2800-47-100-1 weee 2800 47 3918579 1 22 1 0.05 ubs full 1 96.0658 83.024 2 1 12 98312 0.933467 0 103044 0.884439 98312 0.933467 80.9129 64.0804 134178 1.09855 1.37758 0.918255 6 1 47548 90364 1 2ge 2048 262144 28.6765 94.3972 16.6679 16.9753 5165788 15 69.5781 80.9129 5165788 4028 1282.47 2.10477 32.9801 4 2208 3 NA NA
weee-2800-47-100-2 weee 2800 47 3918567 1 34 1 0.001 ubs full 1 16.1637 0 0 0 0 2147483647 -1 46.953 NA NA -1 -1 -1 14.0255 139429 1.11599 0 0 0 1 NA 0 0 2ge 2048 262144 1.02266 15.7802 0.543837 0 160877 1 NA 0 160877 210 766.081 2.68571 119.21 1 63 0 NA NA
weee-2800-47-100-2 weee 2800 47 3918567 1 34 1 0.01 ubs full 1 15.5689 0 0 0 0 2147483647 -1 46.53 NA NA -1 -1 -1 14.0589 139429 1.11599 0 0 0 1 NA 0 0 2ge 2048 262144 0.375556 15.235 0.188074 0 48303 1 NA 0 48303 133 363.18 1.88722 80.5564 1 18 0 NA NA
