instance n m beta time alpha nsolved ubi lbColor ub lb vs timelim memlim
weee-200-4-100-8 200 4 1 64.8553638458252 0.001 87 0.348355032730977 0.348355032730977 0 0 NA 0 0
weee-200-4-100-8 200 4 1 64.4889240264893 0.01 87 0.348355032730977 0.348355032730977 0 0 NA 0 0
weee-200-4-100-8 200 4 1 64.7016160488129 0.05 87 0.348355032730977 0.348355032730977 0 0 NA 0 0
weee-200-6-100-10 200 6 1 591.90660405159 0.001 596 1.00584423694725 1.00584423694725 0 0 NA 0 0
weee-200-6-100-10 200 6 1 585.124557971954 0.01 596 1.00584423694725 1.00584423694725 0 0 NA 0 0
weee-200-6-100-10 200 6 1 585.347105979919 0.05 596 1.00584423694725 1.00584423694725 0 0 NA 0 0
weee-200-8-025-2 200 8 0.25 39.4203641414642 0.001 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-025-2 200 8 0.25 10.5610558986664 0.01 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-025-2 200 8 0.25 10.3673839569092 0.05 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-050-2 200 8 0.5 55.2458670139313 0.001 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-050-2 200 8 0.5 10.5000319480896 0.01 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-050-2 200 8 0.5 10.4017469882965 0.05 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-075-2 200 8 0.75 63.6803030967712 0.001 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-075-2 200 8 0.75 10.9177269935608 0.01 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-075-2 200 8 0.75 10.4708640575409 0.05 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-100-2 200 8 1 78.6446530818939 0.001 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-100-2 200 8 1 10.4513130187988 0.01 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-100-2 200 8 1 10.1419470310211 0.05 1 1.01901881297648 0.994313643977593 1.01901881297648 0.994313643977593 1.00222960787436 0 0
weee-200-8-100-4 200 8 1 1027.74694705009 0.001 863 1.24500544135357 1.24500544135357 0 0 NA 0 0
weee-200-8-100-4 200 8 1 1027.57904195786 0.01 863 1.24500544135357 1.24500544135357 0 0 NA 0 0
weee-200-8-100-4 200 8 1 1030.46352791786 0.05 863 1.24500544135357 1.24500544135357 0 0 NA 0 0
weee-300-7-025-10 300 7 0.25 19.2969431877136 0.001 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-025-10 300 7 0.25 13.0789439678192 0.01 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-025-10 300 7 0.25 12.8126540184021 0.05 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-050-10 300 7 0.5 18.1306350231171 0.001 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-050-10 300 7 0.5 13.2578001022339 0.01 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-050-10 300 7 0.5 12.972972869873 0.05 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-075-10 300 7 0.75 35.7438778877258 0.001 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-075-10 300 7 0.75 13.0955121517181 0.01 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-075-10 300 7 0.75 12.9253861904144 0.05 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-100-10 300 7 1 109.1341547966 0.001 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-100-10 300 7 1 13.3275017738342 0.01 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-300-7-100-10 300 7 1 13.0897629261017 0.05 1 0.854826472449234 0.778894706170224 0.854826472449234 0.778894706170224 0.778894706170224 0 0
weee-500-10-025-2 500 10 0.25 2632.75602698326 0.001 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-025-2 500 10 0.25 139.862371921539 0.01 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-025-2 500 10 0.25 106.530787944794 0.05 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-050-2 500 10 0.5 1110.50246214867 0.001 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-050-2 500 10 0.5 138.023411989212 0.01 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-050-2 500 10 0.5 130.851394891739 0.05 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-075-2 500 10 0.75 3605.31837391853 0.001 1 0.872597727363531 0.809096284319734 0.808692830189559 0.808692830189559 NA 1 0
weee-500-10-075-2 500 10 0.75 184.331018924713 0.01 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-075-2 500 10 0.75 175.153478145599 0.05 1 0.872597727363531 0.809096284319734 0.872597727363531 0.809096284319734 0.852090307479202 0 0
weee-500-10-100-2 500 10 1 3604.34570789337 0.001 209 0.872597727363531 0.809096284319734 0.770780730233962 0.770780730233962 NA 1 0
weee-500-10-100-2 500 10 1 3602.97282099724 0.01 204 0.872597727363531 0.809096284319734 0.772013118347091 0.772013118347091 NA 1 0
weee-500-10-100-2 500 10 1 3602.11703801155 0.05 202 0.872597727363531 0.809096284319734 0.772450795973439 0.772450795973439 NA 1 0
weee-500-12-025-9 500 12 0.25 3606.70187306404 0.001 1 1.08914117656987 1.04159062683043 1.0413446941335 1.0413446941335 NA 1 0
weee-500-12-025-9 500 12 0.25 716.30029296875 0.01 1 1.08914117656987 1.04159062683043 1.08914117656987 1.04159062683043 1.08326940716518 0 0
weee-500-12-025-9 500 12 0.25 325.18776011467 0.05 1 1.08914117656987 1.04159062683043 1.08914117656987 1.04159062683043 1.08326940716518 0 0
weee-500-12-050-9 500 12 0.5 3606.34938192368 0.001 1 1.08914117656987 1.04159062683043 1.0413446941335 1.0413446941335 NA 1 0
weee-500-12-050-9 500 12 0.5 2318.64248490334 0.01 1 1.08914117656987 1.04159062683043 1.08914117656987 1.04159062683043 1.08326940716518 0 0
weee-500-12-050-9 500 12 0.5 401.824717998505 0.05 1 1.08914117656987 1.04159062683043 1.08914117656987 1.04159062683043 1.08326940716518 0 0
weee-200-4-025-6 200 4 0.25 7.66377806663513 0.05 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-025-6 200 4 0.25 7.7057409286499 0.01 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-025-6 200 4 0.25 8.02948617935181 0.001 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-050-6 200 4 0.5 7.62272095680237 0.05 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-050-6 200 4 0.5 7.43289494514465 0.01 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-050-6 200 4 0.5 7.30086493492126 0.001 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-075-6 200 4 0.75 7.64578199386597 0.05 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-075-6 200 4 0.75 7.72054600715637 0.01 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-075-6 200 4 0.75 7.47867012023926 0.001 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-100-6 200 4 1 7.31364893913269 0.05 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-100-6 200 4 1 7.44092988967896 0.01 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-4-100-6 200 4 1 7.67430591583252 0.001 1 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778842 0.292436648778844 0 0
weee-200-6-025-6 200 6 0.25 7.96385097503662 0.05 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-025-6 200 6 0.25 7.87193012237549 0.01 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-025-6 200 6 0.25 8.51501703262329 0.001 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-050-6 200 6 0.5 8.53897190093994 0.05 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-050-6 200 6 0.5 8.05185914039612 0.01 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-050-6 200 6 0.5 8.76785802841187 0.001 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-075-6 200 6 0.75 8.05733895301819 0.05 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-075-6 200 6 0.75 8.2213990688324 0.01 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-075-6 200 6 0.75 18.865494966507 0.001 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-100-6 200 6 1 7.76349592208862 0.05 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-100-6 200 6 1 8.04541993141174 0.01 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-6-100-6 200 6 1 13.610701084137 0.001 1 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206501 0.747160248206502 0 0
weee-200-8-025-6 200 8 0.25 8.12073707580566 0.05 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-025-6 200 8 0.25 8.13972306251526 0.01 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-025-6 200 8 0.25 50.5097539424896 0.001 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-050-6 200 8 0.5 8.13058018684387 0.05 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-050-6 200 8 0.5 8.16572999954224 0.01 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-050-6 200 8 0.5 24.3067729473114 0.001 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-075-6 200 8 0.75 8.13021683692932 0.05 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-075-6 200 8 0.75 8.67094087600708 0.01 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-075-6 200 8 0.75 39.6805667877197 0.001 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-100-6 200 8 1 8.35528707504272 0.05 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
weee-200-8-100-6 200 8 1 8.34859800338745 0.01 1 1.12094918430766 1.12094918430766 1.12094918430766 1.12094918430766 1.12095167603247 0 0
